index,ZoneVec_1,ZoneVec_2,ZoneVec_3,ZoneVec_4,ZoneVec_5,ZoneVec_6,ZoneVec_7,ZoneVec_8,ZoneVec_9,ZoneVec_10,ZoneVec_11,ZoneVec_12,ZoneVec_13,ZoneVec_14,ZoneVec_15,ZoneVec_16,ZoneVec_17,ZoneVec_18,ZoneVec_19,ZoneVec_20,ZoneVec_21,ZoneVec_22,ZoneVec_23,ZoneVec_24,ZoneVec_25,ZoneVec_26,ZoneVec_27,ZoneVec_28,ZoneVec_29,ZoneVec_30,ZoneVec_31,ZoneVec_32,ZoneVec_33,ZoneVec_34,ZoneVec_35,ZoneVec_36,ZoneVec_37,ZoneVec_38,ZoneVec_39,ZoneVec_40,ZoneVec_41,ZoneVec_42,ZoneVec_43,ZoneVec_44,ZoneVec_45,ZoneVec_46,ZoneVec_47,ZoneVec_48,ZoneVec_49,ZoneVec_50,ZoneVec_51,ZoneVec_52,ZoneVec_53,ZoneVec_54,ZoneVec_55,ZoneVec_56,ZoneVec_57,ZoneVec_58,ZoneVec_59,ZoneVec_60,ZoneVec_61,ZoneVec_62,ZoneVec_63,ZoneVec_64,ZoneVec_65,ZoneVec_66,ZoneVec_67,ZoneVec_68,ZoneVec_69,ZoneVec_70,ZoneVec_71,ZoneVec_72
0,-0.40955347,1.2239804,-0.68471235,1.1875772,2.4077861,0.8258102,1.9697635,0.20357873,-0.40235767,0.43434015,0.09945243,-0.32682738,-0.31962904,-0.112206504,0.09260515,1.0427543,-0.28089324,-1.2575731,0.60755277,0.70583856,0.5363713,-0.10697273,-0.0941816,0.24220893,0.58284605,0.28446716,1.1097358,1.0487801,-1.3363769,0.749039,-1.8475707,-0.36564776,-0.53141755,0.9525894,-0.09555314,-0.2772682,0.15193729,0.14204305,-0.353949,0.32635736,0.3193462,0.11958101,0.3789612,0.30923143,1.7104005,-0.7006223,1.2176384,1.0489621,-0.0005967617,1.7594897,-1.0438398,0.959973,0.65164936,0.86662114,-0.062418476,1.2868706,-0.37402764,0.36981776,0.2802206,-0.7996562,0.34702244,0.73808265,0.59137917,-0.96691364,-0.57539487,-0.0137420315,0.21039075,0.83021426,0.6581203,0.8304486,0.7291805,0.4520634
1,-0.031173011,-0.66846627,0.7901883,-1.6315413,-0.3019569,0.35920212,1.1381221,-0.70334864,-1.061599,0.19482195,0.10580457,2.6118271,0.43292987,-1.6634678,-0.9175152,0.31717533,2.4605136,0.7317231,0.32742697,0.3547113,1.8140736,-1.7901058,0.19247943,0.39814135,0.17390598,-0.13843793,1.4709644,-1.1760243,-0.42608485,-0.030292012,-0.29253098,2.3373482,0.19874218,0.3876252,-1.8503739,2.691432,1.5495199,-0.1586458,0.34876338,-0.4592642,0.0886957,0.5863493,-0.3724413,-0.5151715,0.2900114,-0.057053715,0.110033974,1.3698721,-0.43691748,-0.19612195,-0.09125447,2.355666,1.7806056,1.0498745,-3.249641,2.6108634,-0.59899926,-1.1735718,-0.0083122505,-2.2544298,-0.43091726,1.414269,-1.1012318,0.33803102,0.1665999,-0.34600112,0.41817883,-3.1618755,1.8060029,1.4415274,-1.7218825,-0.35690218
2,1.0655745,-0.13580234,-2.268183,-0.82243353,-2.4220474,1.4789203,-0.18708451,-0.10714644,-2.3234308,-1.4690065,-0.28752947,-1.4413377,0.6992535,0.052477356,-0.0015459622,-1.284724,1.6732169,0.22889042,0.414314,-1.0209223,-1.0652599,-0.75911266,1.122737,-0.33880773,-2.2837582,-0.68847936,0.45116556,-1.784579,-1.866552,-0.23748755,2.026473,-0.016630232,0.88805187,-1.5900501,-1.9033873,0.61524487,1.8699143,-2.039832,0.5752633,-0.9434773,-0.6362095,-0.15338479,-0.77835774,0.30739328,-0.5306705,0.30300167,-0.48243138,2.7319427,0.77044654,-1.695834,-1.7438741,0.73279417,1.2176299,-1.7997775,0.66387874,0.49217904,-1.7407004,1.6734388,0.7185479,0.10155007,-1.2672664,0.14099666,0.4489325,1.4225295,0.48294356,1.013907,-1.4915462,0.8216985,-0.192141,-1.0133227,1.6778842,-0.34721157
3,0.7191312,0.6547131,-0.45990378,-1.0022241,-2.305773,-1.0508364,-0.77084213,1.9513302,-0.2911513,0.4419702,-0.5539577,-0.006846491,1.2463031,0.6108545,0.47164497,-1.0568541,1.2266352,-0.7866646,0.036376595,0.818164,0.4239417,-0.2783221,0.74970275,0.55042547,-0.6960379,1.3169445,-0.23800376,-0.47036818,0.81749916,0.73970926,-0.32630402,-0.20397504,-1.3098512,0.54446995,-0.086479835,0.8657022,1.3565596,0.24744025,0.72240794,0.728934,-1.1684593,0.3455143,-0.7794058,-0.15205689,-0.8060613,0.6662134,-0.2966645,-0.56856275,-0.31303865,-2.033593,-1.0137525,0.34613177,-2.4811757,-0.10575485,1.1938388,0.79549366,1.4889944,-0.8206949,0.056672096,1.8808314,-0.7964607,-1.2518501,1.498797,0.3627911,1.1994253,0.39062545,-2.4915094,-0.74269044,-1.5302851,0.7601551,-0.124879725,0.53960246
4,-1.5613623,-0.7909154,1.2284325,-1.8849782,0.48609477,-0.41611284,1.8053731,0.84075534,-0.3330877,-1.3498971,-0.1537828,0.12323608,-0.28421116,2.5824196,3.492326,1.1228192,-0.6299691,-0.61551267,-1.0514587,-1.2160331,0.38193533,-1.1124579,-3.4082386,1.6883867,2.199009,-0.44126448,1.6961946,1.3901571,0.18326321,1.9623085,-2.1959932,-0.299759,-0.064027086,-0.3359691,0.3200321,0.3371025,0.16249168,0.35304368,-0.6324383,-0.48944405,-1.4281342,0.027038805,1.0389568,-0.89386857,-1.4554327,-1.9928808,0.42068276,-0.09227595,3.2449088,-1.9713613,-0.31426093,1.1430875,0.7929313,-0.2858579,1.2511303,-1.4497596,-1.0096352,0.9264762,-0.98087984,0.39701873,1.6568018,-1.7649994,-2.2418902,-0.08793924,-0.06333794,-1.2530806,-0.88506365,-0.9387168,0.94685525,0.41670257,0.6189554,-1.6552801
5,-1.4972681,-0.51827776,-2.2066627,0.6065536,0.95819724,3.7458086,1.0286485,1.2604368,-0.42554212,0.71088874,1.064603,-2.2494497,-2.0024977,0.045139596,-3.464461,3.137203,0.8124559,1.449649,1.87673,1.8498064,0.7666265,0.44743255,-1.7677696,2.7565088,0.40080327,0.47854787,-1.0438764,1.6854635,-1.2454412,-2.537219,-0.7275622,2.1887681,-0.964762,3.5800753,-2.2181644,0.1441159,-2.3283484,1.130644,0.21373685,-0.275257,-1.3087883,0.7648443,-3.6467507,-2.0165465,-1.5161468,-2.817971,-1.9757509,2.041037,0.40278196,-2.7284184,-2.1182132,-2.1634033,-1.4122024,-0.38114002,-1.1453443,0.19002971,-4.284654,0.48500577,0.15639904,1.0230005,0.9534085,0.48622984,2.9210765,2.013903,-0.48069987,1.2128344,-0.8469455,-3.4199789,-1.715825,-0.7630282,-2.8387957,0.4233781
6,-2.9509842,0.8212573,-0.14120886,0.05643981,0.5193635,-0.1743922,-0.91152674,-2.338887,-0.9751887,-1.6297039,0.6631545,0.7225237,0.32469413,0.004054656,0.7815423,-1.7791169,0.38129714,0.36623126,-1.8710299,-1.6484897,-0.54675436,-0.59965956,0.005027023,1.2322865,-0.10798466,-0.29227254,1.5741849,-0.020523276,-1.0862672,-0.056466535,0.80996037,0.77726936,-0.73602647,0.6059132,-1.1526561,1.3552859,0.27657196,-2.3596232,-2.4161093,-0.91847956,-0.56053936,-0.14412263,0.2895483,-0.60287356,1.11448,0.28988847,2.2005568,1.3107991,-0.18002312,0.29408053,-0.1082214,0.8920491,-0.45697784,1.6618549,0.9476736,1.4877877,0.3416478,1.5171642,-1.1823467,-0.28385103,-1.5271796,-0.14628875,-0.8468136,-3.1373894,-0.5810712,0.59811544,0.01163332,-0.024284087,0.11301644,-0.50369567,-1.2665167,-0.10140894
7,-0.34742045,-0.2531201,-1.3302387,-1.0744933,-0.2194793,-1.3485473,0.54201746,-1.2433063,2.9285188,-0.10318141,-0.24389035,1.8349934,0.204603,-1.248504,1.043708,-0.3335427,-0.16001377,1.118314,1.1333652,-1.1441344,-1.6193626,-2.1003678,-1.1611469,1.0864376,-0.99098456,1.1614318,0.035655476,-1.0793508,-2.0195587,0.5209979,-1.6029768,1.2698569,1.3787082,1.1721716,-0.39006048,2.37452,-1.2662942,-1.2531497,-0.7934053,1.3364877,-0.50284845,0.702209,1.121422,-0.7927674,3.4198236,-0.5458312,2.6377082,2.687094,-0.44994,2.123669,1.4725195,1.4132164,0.089947924,1.9327374,-1.0267361,0.17671363,1.7616966,0.76716846,-0.8463082,-0.96966356,-2.1977477,-2.553078,-0.9141268,-1.3211612,1.2705532,-0.4457705,-0.6846093,-1.4277539,-0.8571813,-1.3553257,-1.3535695,1.3822212
8,-1.5886283,0.6970309,-1.7386249,2.7814415,-1.4498932,0.043326475,0.69984275,2.0198233,-0.49940306,-0.91394746,0.11249451,-1.4708437,-0.44317004,0.97756726,1.3664415,1.700558,3.188125,0.93073976,1.3263522,-0.96124256,0.4591404,-0.13450903,1.6964188,0.6881012,-0.52672344,-1.014229,0.6657911,-0.93881685,-0.11140305,-0.5385257,-0.11749656,-0.26781327,-0.15276201,0.11387532,0.09957757,-0.9581077,0.7606023,-1.0457851,-2.2779884,0.34340414,0.9357921,-0.089172415,-0.36550778,-1.7475064,0.90775555,-1.0228534,1.1933018,0.8481549,0.21585338,-0.63456213,-1.7976826,-1.9276909,-0.21425155,-1.1673253,1.4314418,0.93011934,0.6677454,1.567663,1.0051609,1.2986152,-1.3121557,0.08281604,1.3693687,1.2917356,1.2991502,0.19945663,-1.1064789,0.5152109,-0.005832951,-1.3844538,-0.88323295,-0.38068822
9,-0.22755252,2.4086952,-0.6190862,1.1858423,-1.1684306,0.2858016,0.21094997,2.4460714,0.5398367,-1.3182889,0.169915,-0.13602443,0.018211864,1.9266999,0.6496696,-0.2051711,1.1167344,-1.2805874,-1.1470416,2.3042326,0.40435287,0.731171,1.8103429,-0.306656,0.5479879,-0.6384372,1.3537074,0.14676397,-1.4105937,1.0679451,-1.5968524,-0.9077876,-0.5312185,-3.1226962,1.2876244,-1.0257046,0.5796325,1.1817192,-0.56140834,0.76366884,1.010431,0.03198032,-0.62929666,-0.7165625,0.7650499,-0.0043689194,0.18690139,-0.27800572,0.6738298,1.9625852,-1.0247238,-0.23471817,2.0030437,-1.4795908,-0.42293468,0.9485375,0.8723115,1.5046244,1.7626392,-0.3000327,-0.96787417,-0.7765076,1.7759817,2.3489506,-1.1450658,1.6990603,-1.9524454,1.2016879,-0.26131025,-2.208798,-0.1710309,-1.4536061
